IDH2hyper	WT1hyper	CEBPahyper	TET2Hyper	IDH1Hyper	DNMT3Ahyper
SNX19	DUOX1	MRGPRE	TBC1D16	LOC100130987	
NTM	DUOXA1	C11orf91	CARD14	CLCF1	
MOV10	C15orf48	CD59	RPTOR	ATPGD1	
LOC255512	CTXN2	ABTB2	FLJ90757	RPS6KB2	
IGSF9B	ATP8B4	EHF	AK5	CORO1B	
LOC100128239	TNFAIP8L3	PAMR1	FOXK2	AIP	
TNFRSF18	SCG3	LDLRAD3	RAB40B	NUDT8	
RSBN1	BCL2L10	TRPC2	METRNL	NECAP2	
BCL2L15	GNB5	TRAF6	NXN	SUV420H1	
PSMA1	MYO5C	ART5	RNF222	LRP5	
BRSK2	PCSK9	ATAD3C	NTN1	SFT2D2	
PDE3B	FOXB1	RRM1	DHRS7C	GAL	
TNFRSF4	C2CD4A	SIGIRR	RCVRN	MTL5	
TRIM33	C2CD4B	ALX4	GAS7	MYEOV	
HCCA2	IGDCC3	CD82	ABR	DEAF1	
TSPAN2	IGDCC4	PDE4DIP	C18orf1	CCND1	
PTCHD2	MEGF11	HFE2	LPIN2	NADK	
DUSP8	LBXCOR1	TXNIP	MYOM1	MST1P2	
KRTAP5-2	LOXL1	POLR3GL	SLC45A1	ANO1	
LOC338651	LOC283731	ANKRD34A	TTLL7	PPFIA1	
VANGL1	ISLR2	CD160	CPLX4	SHANK2	
KRTAP5-3	CYP1A1	SLC35C1	MBP	IL18BP	
PLEKHA7	ULK3	GYLTL1B	KCNG2	EPS8L2	
ATP1A1	SNUPN	DGKZ	C19orf6	DNM3	
FAM99B	CSPG4	MDK	CARM1	P2RY2	
FBXO44	ISL2	AMBRA1	DOCK6	P2RY6	
MAD2L2	CHRNA5	LRP4	SBNO2	RELT	
KCNJ11	DAB1	BCL9	STK11	PLEKHB1	
PTGFRN	CPEB1	NR1H3	PRKACA	DNAJB13	
CD101	KLHL25	SLC39A13	OR7A17	ARRB1	
C1orf187	LOC254559	C1orf70	TPM4	TNN	
LOC402778	MESP2	FAM180B	TCF3	MOGAT2	
CTSD	TACSTD2	PTPRJ	EPS15L1	GUCY2E	
VTCN1	C15orf38	OR51S1	USHBP1	B3GNT6	
FAM132A	ST8SIA2	LOC388692	UPF1	AQP11	
AGTRAP	NR2F2	HIST2H2BF	GNG7	RCC2	
FAM46C	MIR1469	RNH1	C19orf77	RASAL2	
MRGPRX3	SOX8	ECM1	ZBTB32	ODZ4	
MRGPRX4	SHISA9	MCL1	APLP1	TOR3A	
SAA2	NFIA	ARNT	TJP3	ARHGEF10L	
SAA1	C16orf35	LASS2	PPP1R14A	LRDD	
LDHA	CHD5	FAM63A	RYR1	IER5	
GDAP2	HS3ST2	PRUNE	ZBTB7A	PNPLA2	
SYT8	ERN2	KIAA1026	BCAR3	GNB1	
TNNI2	PRSS22	SEMA6C	CEACAM7	PCF11	
SPTY2D1	SLC7A5P1	SCNM1	CEACAM6	EFCAB4A	
LSP1	FAM57B	LYSMD1	CEACAM8	LAMC2	
ZDHHC13	CCDC64B	TMOD4	CD177	NMNAT2	
TNNT3	COX6A2	PI4KB	ZNF234	GLT25D2	
ODF3	GPR153	CGN	SEMA6B	TSPAN4	
UBE2J2	FOXD3	SNX27	NKPD1	POLR2L	
LOC100128842	AXIN1	RORC	KLC3	TMEM52	
LOC100126784	GPT2	S100A10	GPR4	SYTL2	
NAV2	ZNF423	TCHH	GIPR	PICALM	
ZNF697	IRX6	SPRR1B	GPR77	CTSC	
NBPF7	DKFZP434H168	LOR	ARRDC5	ST5	
PRMT3	GNAO1	S100A12	SULT2B1	KIAA1751	
LOC647121	MT3	HRAS	FUT1	PAX7	
TNFRSF8	MT1A	S100A5	DHDH	CHID1	
MIR483	DNAJC6	S100A2	UHRF1	IFFO2	
INS-IGF2	TEPP	S100A13	C19orf48	MIR1304	
IGF2	MMP15	S100A1	KDM4B	SNORA8	
SCNN1D	TAS1R1	NPR1	KLK1	SNORD5	
INS	ZBTB48	SLC27A3	KLK11	SNORA18	
TH	SMPD3	LRRC56	MIR125A	UBR4	
TNFRSF1B	CDH1	DENND4B	MIR99B	AMOTL1	
GAS2	HAS3	ATP8B2	NCRNA00085	AKR7A3	
ASCL2	SGIP1	PMVK	MIRLET7E	AP2A2	
VPS13D	SYCE1L	SHC1	RPS9	CAPZB	
TSPAN32	SDR42E1	EFNA4	LAIR2	PTPRC	
ACAP3	CDH13	GBAP1	LILRB4	C1orf151	
TRPM5	ABAT	FAM189B	KIR2DL4	KIF21B	
PUSL1	SLC7A5	SCAMP3	FAM71E2	PLA2G2E	
KCNQ1	CPNE7	RUSC1	ZSCAN18	TMEM183B	
DHRS3	SPIRE2	C1orf104	AGRN	TMEM183A	
TAS1R3	DEF8	LOC645676	C3	MYOG	
KCNQ1OT1	DNAH9	ASH1L	RETN	LAX1	
LGR4	PMP22	DAP3	FCER2	SOX13	
BDNFOS	ADORA2B	FHAD1	CLEC4G	PLA2G2C	
PRAMEF11	ZNF287	ARHGEF2	EVI5L	NFASC	
CDKN1C	RTN4RL1	BGLAP	FBN3	UBXN10	
SLC22A18AS	DPH1	TMEM79	ARID3A	CDK18	
SLC22A18	HIC1	SMG5	CTNNBIP1	IKBKE	
