IDH2hyper	WT1hyper	CEBPahyper	TET2Hyper	IDH1Hyper	DNMT3Ahyper
TP53I13		IDH3B		C8orf73	
GIT1		EBF4		NAPRT1	
ANKRD13B		ZCCHC3		EEF1D	
SSH2		VPS16		TIGD5	
BLMH		FAM113A		SCRIB	
TBC1D29		PTPRA		MIR937	
CRLF3		DEFB124		PUF60	
ATAD5		GNRH2		PLEC1	
RNF135		FOXS1		PARP10	
EVI2A		C20orf112		DGAT1	
NF1		LOC284805		SLC39A4	
RAB11FIP4		COMMD7		VPS28	
LRRC37B		EFCAB8		NFKBIL2	
RHBDL3		ProSAPiP1		GPT	
C17orf75		BPIL1		LRRC24	
TMEM98		RALY		MGC70857	
OR3A2		NRSN2		KIAA1688	
DOC2B		ASIP		DLGAP2	
LIG3		MAP1LC3A		ARHGEF10	
OR1E2		TRPC4AP		SH2D4A	
RFFL		SPAG4		CSGALNACT1	
SLFN12		EPB41L1		KBTBD11	
AP2B1		C20orf117		MYOM2	
GAS2L2		SRC		LZTS1	
CCL5		BLCAP		DOK2	
CCL3		LOC388796		XPO7	
TBC1D3B		SNORA71B		SFTPC	
TRPV3		HSPA12B		TNFRSF10A	
TBC1D3G		SLC32A1		ENTPD4	
TBC1D3C		FAM83D		EBF2	
DHRS11		SPEF1		RBPMS	
MRM1		PLCG1		GSR	
DUSP14		LPIN3		UNC5D	
P2RX5		MYBL2		GPR124	
HNF1B		TOX2		RAB11FIP1	
TBC1D3F		KCNK15		STAR	
TBC1D3		SLPI		TACC1	
MRPL45		MATN4		MYST3	
GPR179		RBPJL		AP3M2	
ITGAE		SDC4		PLAT	
ARHGAP23		DBNDD2		IKBKB	
SRCIN1		SYS1-DBNDD2		KIAA0146	
RPL23		UBE2C		PCMTD1	
LASP1		TNNC2		OPRK1	
FBXO47		SLC12A5		LYPLA1	
PPP1R1B		CDH22		FAM110B	
TCAP		ZNF334		TOX	
PNMT		SLC13A3		ASPH	
PGAP3		ZMYND8		ANGPT2	
GRB7		LOC100131496		MCPH1	
CAMKK1		RASSF2		AGPAT5	
GSDMB		SLC9A8		C8orf44	
P2RX1		SLC23A2		SLCO5A1	
GSDMA		ADNP		NCOA2	
CSF3		ATP9A		TRAM1	
MED24		ZNF217		XKR9	
THRA		CSNK2A1		LACTB2	
RAPGEFL1		BCAS1		LY96	
RARA		PROKR2		PKIA	
TNS4		TFAP2C		ZNF704	
KRT222		C20orf85		FAM82B	
KRT27		NPEPL1		PDP1	
KRT20		GNAS		TNKS	
LOC730755		GNASAS		LOC157627	
KRTAP2-4		CTSZ		PGCP	
KRTAP4-12		TUBB1		STK3	
KRTAP4-5		C20orf177		ANP32B	
KRTAP4-3		PPP1R3D		COL15A1	
KRTAP9-2		CRLS1		ABCA1	
KRT13		TAF4		SLC44A1	
KRT19		PSMA7		AKAP2	
KRT9		SS18L1		PALM2-AKAP2	
KRT16		GATA5		POLE3	
KRT17		C20orf166		C9orf43	
EIF1		C20orf200		AKNA	
HAP1		NTSR1		MEGF9	
SC65		YTHDF1		TRAF1	
FKBP10		BIRC7		CEP110	
KLHL10		ARFGAP1		GSN	
NT5C3L		COL20A1		STOM	
CNP		KCNQ2		DAB2IP	
RAB5C		STMN3		LHX6	
KCNH4		DNAJC5		DENND1A	
HCRT		MIR1914		NEK6	
STAT5A		UCKL1		OLFML2A	
PTRF		MIR647		FAM125B	
NAGLU		UCKL1AS		RPL12	
COASY		PRPF6		SNORA65	
ANKFY1		SOX18		DPM2	
LOC100190938		OPRL1		FAM102A	
VPS25		C20orf201		CIZ1	
AOC2		SCRT2		C9orf50	
AOC3		BMP2		LAMC3	
G6PC		RSPO4		FAM78A	
RND2		AFF3		RAPGEF1	
NBR1		NPAS2		NTNG2	
MIR2117		KLF11		RALGDS	
SOST		RNF149		SNORD24	
DUSP3		CYS1		SNORD36B	
C17orf105		MAP4K4		MED22	
CD300LG		IL1RL2		RPL7A	
MPP2		SLC9A4		SNORD36A	
PPY		POU3F3		SARDH	
PYY		TGFBRAP1		VAV2	
LSM12		FHL2		RXRA	
ASB16		NCK2		COL5A1	
UBTF		UXS1		KCNT1	
SLC4A1		ST6GAL2		INPP5E	
GRN		NOL10		C9orf163	
C17orf104		SULT1C2		NOTCH1	
CCDC43		LIMS1		SNHG7	
DBF4B		PDIA6		SNORA43	
ADAM11		SH3RF3		LCN6	
DCAKD		MALL		LCN8	
HEXIM2		ACOXL		KIAA1984	
LOC100133991		FBLN7		C9orf172	
FMNL1		SLC20A1		ENTPD2	
C17orf46		PSD4		RNF208	
ARHGAP27		LOC440839		COBRA1	
SH3D20		PAX8		NELF	
LOC100128977		MGC13005		CNTLN	
IMP5		ABCC13		PLIN2	
MAPT		E2F6		B4GALT1	
SPNS2		C21orf34		SUGT1P1	
VPS53		CCDC93		AQP3	
SMTNL2		LPIN1		FAM166B	
MYL4		BTG3		CD72	
ITGB3		EN1		RECK	
ALOX15		PCDP1		FBXO10	
TBKBP1		TMEM185B		TJP2	
TBX21		MYO7B		PCSK5	
SP6		ADAMTS5		AGTPBP1	
COPZ2		LIMS2		SHC3	
NFE2L1		POLR2D		BTK	
ARRB2		HS6ST1		NGFRAP1	
SKAP1		ARHGEF4		PLP1	
ZMYND15		CCDC74A		ARHGAP6	
CXCL16		C21orf63		AMELX	
HOXB2		IFNGR2		MIR1912	
HOXB3		ITSN1		HTR2C	
TM4SF5		TMEM163		DOCK11	
UBE2Z		MRPS6		BCORL1	
PLD2		SLC5A3		ELF4	
GNGT2		RUNX1		MIR542	
ABI3		SIM2		ZNF75D	
PHOSPHO1		DSCR6		FHL1	
NGFR		HNMT		FGF13	
NXPH3		ETS2		AFF2	
SPOP		NCRNA00111		MTM1	
SAMD14		RIPK4		MAGEA2	
COL1A1		ABCG1		MECP2	
GP1BA		PKNOX1		IKBKG	
RNF167		CBS		G6PD	
ACSF2		C21orf84		F8	
RSAD1		GTDC1		F8A3	
CACNA1G		LOC284837		F8A1	
LUC7L3		ZEB2		F8A2	
NME2		C21orf33		GPR64	
NME1-NME2		AIRE		SH3KBP1	
C17orf87		KRTAP12-1		MAGEB2	
RABEP1		C21orf29			
TMEM100		ITGB2			
ANKFN1		C21orf70			
MSI2		LOC642852			
CUEDC1		COL18A1			
VEZF1		PCNT			
SFRS1		FAM84A			
OR4D2		EPC2			
EPX		RPRM			
MKS1		GPD2			
LPO		GALNT5			
04-9__		ACVR1			
TEX14		TANC1			
YPEL2		PLA2R1			
TMEM49		TBR1			
LOC653653		KCNH7			
C17orf64		GRB14			
BCAS3		SCN2A			
10-3__		CSRNP3			
TANC2		FAM49A			
CYB561		ABCB11			
LIMD2		BBS5			
CCDC47		PXDN			
FTSJ3		SP5			
SMARCD2		GAD1			
TCAM1		MAP1D			
GH2		ZAK			
CSHL1		EVX2			
CD79B		HOXD11			
C17orf72		HOXD10			
ICAM2		NFE2L2			
ERN1		PDE11A			
TEX2		FKBP7			
LOC146880		PLEKHA3			
PLEKHM1P		MIR548N			
AIPL1		FRZB			
PITPNM3		ZSWIM2			
CCDC46		GULP1			
PRKCA		C2orf88			
PITPNC1		NAB1			
ARSG		SDPR			
SLC16A6		SATB2			
WIPI1		AOX1			
PRKAR1A		ORC2L			
XAF1		WDR35			
FBXO39		ALS2CR11			
MAP2K6		MPP4			
KCNJ16		ICOS			
ALOX12		NRP2			
MIR195		HS1BP3			
MIR497		LANCL1			
SLC16A11		PECR			
RNMTL1		TMEM169			
CLEC10A		CECR2			
ASGR2		SLC25A18			
NXN		MICAL3			
ASGR1		DIRC3			
DLG4		TNS1			
CPSF4L		DGCR6			
CDC42EP4		RUFY4			
SDK2		CXCR1			
CLDN7		DGCR2			
C17orf54		GPBAR1			
SLC2A4		SLC25A1			
YBX2		CTDSP1			
EIF5A		MIR26B			
MGC16275		RQCD1			
TTYH2		WNT6			
DNAI2		WNT10A			
NEURL4		TBX1			
KIF19		CDK5R2			
BTBD17		COMT			
GPRC5C		ARVCF			
KCTD11		NHEJ1			
CD300LD		C2orf24			
C17orf77		ZFAND2B			
TMEM104		TRMT2A			
TNK1		RANBP1			
GRIN2C		DNAJB2			
ICT1		PTPRN			
NLGN2		MIR153-1			
ARMC7		LOC150197			
GGA3		RTN4R			
MRPS7		DES			
GRB2		SPEG			
TMEM102		OBSL1			
FGF11		P2RX6			
KIAA0195		MGC16703			
CASKIN2		MIR130B			
CHRNB1		MIR301B			
RECQL5		PRAME			
ITGB4		LOC648691			
GALK1		PAX3			
UNK		CCDC140			
WBP2		RAB36			
UNC13D		BCR			
TRIM65		ZDHHC8P			
FBF1		C22orf15			
EVPL		MMP11			
EXOC7		SMARCB1			
POLR2A		MIF			
QRICH2		WDFY1			
UBE2O		LOC644165			
RHBDF2		ASPHD2			
CYGB		IRS1			
PRCD		MN1			
SNORD1A		TTC28			
ST6GALNAC2		SPHKAP			
ST6GALNAC1		XBP1			
EIF4A1		NEFH			
SNORA48		NIPSNAP1			
SNORD10		HORMAD2			
SNORA67		LIF			
CD68		RNF215			
MGAT5B		FBXO36			
SOX15		MTP18			
SHBG		INPP5J			
FXR2		LIMK2			
SEC14L1		PIK3IP1			
09-9__		ITM2C			
TNRC6C		NMUR1			
TMC6		ALPP			
TMC8		ECEL1			
SYNGR2		CHRND			
TK1		EFHD1			
AFMID		DGKD			
LOC283999		ARL4C			
DNAH2		SH3BP4			
DNAH17		APOL6			
USP36		RBM9			
TIMP2		APOL3			
LGALS3BP		APOL2			
CANT1		APOL1			
C1QTNF1		AGAP1			
HRNBP3		MYH9			
KDM6B		EIF3D			
AK5		GBX2			
TMEM88		CACNG2			
CYB5D1		MPST			
LSMD1		TST			
CBX4		KCTD17			
TBC1D16		C1QTNF6			
CHD3		CDC42EP1			
CCDC40		LGALS2			
GAA		TRIOBP			
CARD14		H1F0			
SGSH		GALR3			
LOC284023		MICALL1			
RNF213		COL6A3			
NPTX1		SLC16A8			
RPTOR		PLA2G6			
CHMP6		LRRFIP1			
FLJ90757		CSNK1E			
BAIAP2		KCNJ4			
GUCY2D		KLHL30			
AATK		JOSD1			
SLC38A10		NPTXR			
C17orf55		APOBEC3F			
BAHCC1		APOBEC3G			
FSCN2		CBX7			
PDE6G		RPL3			
C17orf90		SNORD83A			
CCDC137		RNU86			
SLC25A10		SMCR7L			
P4HB		CACNA1I			
ARHGDIA		HDAC4			
PCYT2		TNRC6B			
SIRT7		GPC1			
MAFG		ANKMY1			
NOTUM		RNPEPL1			
ASPSCR1		TEF			
DUS1L		AGXT			
FASN		MEI1			
ALOXE3		ANO7			
CCDC57		CCDC134			
SLC16A3		SREBF2			
CSNK1D		FARP2			
CD7		WBP2NL			
SECTM1		BOK			
HEXDC		CYP2D7P1			
C17orf62		ATG4B			
FOXK2		D2HGDH			
RAB40B		GAL3ST2			
TBCD		NEU4			
C17orf59		PDCD1			
B3GNTL1		C2orf85			
METRNL		CYB5R3			
SLC25A35		TP53I3			
ARHGEF15		ARFGAP3			
RNF222		TTLL1			
MYH10		BIK			
FUBP1		TSPO			
LOC643837		SCUBE1			
PIK3R5		PNPLA3			
NTN1		SAMM50			
STX8		LDOC1L			
DHRS7C		ITSN2			
RCVRN		PHF21B			
GAS7		UPK3A			
TNFRSF9		FAM118A			
ERRFI1		LOC730668			
APCDD1		LOC150381			
TUBB6		C22orf26			
MC2R		TTC38			
C18orf45		CERK			
NPC1		FAM19A5			
ANKRD29		BRD1			
SS18		PIM3			
LOC728606		IL17REL			
SMCHD1		TTLL8			
EMILIN2		PANX2			
LPIN2		TUBGCP6			
MYL12A		HDAC10			
ZNF397		MAPK12			
ZNF397OS		PLXNB2			
TGIF1		SAPS2			
BRUNOL4		SBF1			
DLGAP1		TYMP			
SLC45A1		CPT1B			
SETBP1		CHKB-CPT1B			
PSTPIP2		ARSA			
ATP5A1		DNMT3A			
HAUS1		C2orf39			
RNF165		OTOF			
RERE		KCNK3			
TTLL7		DPYSL5			
SMAD2		EMILIN1			
SAMD13		CGREF1			
CCDC11		ABHD1			
CXXC1		C2orf28			
MBD1		SLC5A6			
MRO		CAD			
CCDC68		DNAJC5G			
TCF4		TRIM54			
NARS		UCN			
FLJ39609		ZNF513			
NEDD4L		PPM1G			
MALT1		BRE			
TNFRSF11A		RBKS			
CYR61		PLB1			
BCL2		ALK			
SERPINB13		CAPN13			
CLUL1		TTC27			
SERPINB10		LTBP1			
ZNHIT6		CRIM1			
COL24A1		FEZ2			
DOK6		CYP1B1			
CD226		C2orf58			
ODF2L		MAP4K3			
LAMA1		THUMPD2			
CNDP2		THADA			
CNDP1		SRBD1			
SAMD11		EPAS1			
HS2ST1		LOC100134259			
ZNF516		TTC7A			
LOC284276		EPCAM			
ZNF236		STON1-GTF2A1L			
MBP		NRXN1			
LOC339524		PSME4			
NFATC1		MTIF2			
CTDP1		EFEMP1			
KCNG2		BCL11A			
LMO4		OTX1			
NOC2L		VPS54			
LOC100192426		SLC1A4			
PTPRM		SPRED2			
RALBP1		MEIS1			
KLHL17		ANTXR1			
RAB31		NFU1			
LOC400759		PCBP1			
LRRC8B		FIGLA			
CA6		CLEC4F			
LRRC8D		VAX2			
PLEKHN1		ATP6V1B1			
SLC2A7		ANKRD53			
GRIN3B		MCEE			
C19orf6		MPHOSPH10			
C19orf66		CYP26B1			
ANGPTL6		SPR			
SLC2A5		EMX1			
S1PR2		NOTO			
CNN2		NAT8			
ICAM4		ALMS1P			
ICAM1		NAT8B			
ICAM5		LOC100189589			
ZGLP1		C2orf81			
FDX1L		RTKN			
RAVER1		LBX2			
ABCA7		LOC151534			
KEAP1		C2orf65			
ATG4D		C2orf3			
MIR1238		CTNNA2			
CDKN2D		TGOLN2			
KRI1		ELMOD3			
AP1M2		RETSAT			
ILF3		VAMP5			
HMHA1		C2orf68			
DNM2		GNLY			
TMED1		ATOH8			
GPX4		ST3GAL5			
SMARCA4		VPS24			
SBNO2		CD8B			
KANK2		RGPD1			
DOCK6		RGPD2			
ELAVL3		MBOAT2			
ZNF653		LOC729234			
ECSIT		NEURL3			
CNN1		KIAA1310			
ACP5		FER1L5			
ZNF491		CNNM3			
ZNF844		SEMA4C			
STK11		ZAP70			
C19orf26		VWA3B			
MIDN		C2orf55			
CIRBP		LIPT1			
C19orf23		TSGA10			
C19orf24		TAF1B			
MAN2B1		TOMM70A			
C19orf56		NFKBIZ			
MORG1		IRAK2			
FBXW9		ATP2B2			
MAST1		CCDC54			
KLF1		SLC6A11			
FARSA		DPPA4			
CALR		PHLDB2			
GADD45GIP1		TAGLN3			
NFIX		C3orf52			
NACC1		HRH1			
IER2		CCDC80			
STX10		GTPBP8			
CACNA1A		VGLL4			
MUM1		IGSF11			
MIR24-2		UPK1B			
NANOS3		KTELC1			
PODNL1		ADPRH			
DAZAP1		C3orf15			
RFX1		NR1I2			
PRKACA		FSTL1			
LPHN1		SYN2			
RPS15		FBXO40			
CD97		CASR			
PKN1		TIMP4			
GIPC1		DIRC2			
NDUFB7		ADCY5			
CLEC17A		MYLK			
C19orf25		PPARG			
PCSK4		ITGB5			
ZNF644		SLC12A8			
REEP6		TSEN2			
OR7A17		LOC100125556			
PLK5P		CHST13			
EPHX3		KBTBD12			
BRD4		RUVBL1			
AKAP8L		TMEM40			
AKAP8		EEFSEC			
MIR1470		C3orf27			
WIZ		CAND2			
RASAL3		KIAA1257			
PGLYRP2		RAB43			
CYP4F22		COPG			
CYP4F12		PLXND1			
MBD3		IQSEC1			
UQCR		NUDT16P			
CYP4F11		C3orf36			
TPM4		SLCO2A1			
TCF3		KY			
CIB3		FBLN2			
EPS15L1		NCK1			
F2RL3		IL20RB			
MYO9B		LOC285375			
NR2F6		SOX14			
USHBP1		ESYT3			
ABHD8		FOXL2			
MRPL34		C3orf72			
ANO8		ZBTB38			
PLVAP		PLS1			
SLC27A1		PAQR9			
FAM129C		CHST2			
ONECUT3		SLC9A9			
UNC13A		SLC6A6			
MAP1S		ZIC4			
B3GNT3		CP			
ATP8B3		TM4SF1			
KCNN1		TM4SF4			
REXO1		RNF13			
PIK3R2		FGD5			
RAB3A		SIAH2			
KIAA1683		P2RY12			
LSM4		MED12L			
PGPEP1		SGEF			
SSBP4		GPR149			
ISYNA1		MME			
KLF16		PLCH1			
C19orf60		C3orf33			
KLHL26		SLC33A1			
CRTC1		SSR3			
GPR157		ANKRD28			
FAM108A1		SHOX2			
COMP		RARRES1			
UPF1		SCHIP1			
ADAT3		C3orf57			
SCAMP4		GALNTL2			
SFRS14		SLITRK3			
LOC729991-MEF2B		WDR49			
MEF2B		SLC2A2			
RFXANK		FNDC3B			
HAPLN4		GHSR			
TM6SF2		PIK3CA			
C19orf34		MCF2L2			
CSNK1G2		B3GNT5			
YJEFN3		VWA5B2			
BTBD2		ECE2			
MOBKL2A		CAMK2N2			
MIR34A		EIF4G1			
ZNF738		FAM131A			
AMH		MAGEF1			
JSRP1		MAP3K13			
TGFBR3		IGF2BP2			
OAZ1		ST6GAL1			
C19orf35		SST			
LINGO3		BCL6			
LSM7		LPP			
SPPL2B		TP63			
TMPRSS9		LRRC15			
BRDT		TNK2			
LMNB2		MFI2			
GNG7		DLG1			
DIRAS1		LRCH3			
SGTA		IQCG			
PPAP2C		LOC348840			
GFI1		UBE2E2			
UQCRFS1		THRB			
TLE6		RARB			
H6PD		TGFBR2			
PLEKHF1		TRNT1			
TLE2		OSBPL10			
CCNE1		ZNF860			
GNA11		GPD1L			
GNA15		TRIM71			
NCLN		SUSD5			
EVI5		PDCD6IP			
RHPN2		DCLK3			
SLC7A10		TRANK1			
NFIC		LRRFIP2			
PEPD		CTDSPL			
KCTD15		VILL			
C19orf77		PLCD1			
LOC643719		LRRN1			
FXYD3		CSRNP1			
FXYD1		ENTPD3			
HAMP		RPL14			
MAG		ZNF620			
FFAR3		TRAK1			
KRTDAP		KBTBD5			
DMKN		ZNF662			
SBSN		ZNF445			
GAPDHS		TGM4			
TBXA2R		EXOSC7			
ZBTB32		CLEC3B			
MLL4		CDCP1			
C19orf29		LARS2			
APLP1		LIMD1			
HCST		CCR2			
TYROBP		CCRL2			
THEG		RTP3			
PIP5K1C		LRRC2			
SPSB1		TMIE			
MATK		PTH1R			
ZFR2		CCDC12			
PPP1R14A		ITPR1			
C19orf33		PLXNB1			
YIF1B		TREX1			
RYR1		UCN2			
ATCAY		UQCRC1			
CAPN12		CELSR3			
ECH1		PRKAR2A			
RINL		WDR6			
ITGB1BP3		IMPDH2			
FBXO27		USP19			
PAK4		LAMB2			
NCCRP1		CCDC71			
EEF2		KLHDC8B			
GMFG		C3orf62			
ZFP36		USP4			
FCGBP		AMT			
ZBTB7A		NICN1			
AKT2		DAG1			
MIR641		BSN			
BCAR3		MST1			
PLD3		RNF123			
C19orf47		CAMKV			
MAP2K2		MST1R			
PRX		MON1A			
SHKBP1		RBM6			
LTBP4		BHLHE40			
ITPKC		GNAI2			
ADCK4		SEMA3B			
C19orf54		C3orf45			
SNRPA		HYAL2			
EGLN2		CYB561D2			
CYP2S1		TMEM115			
AXL		CACNA2D2			
HNRNPUL1		CISH			
TGFB1		GRM2			
B3GNT8		PARP3			
CEACAM4		RRP9			
CEACAM3		PCBP4			
ATP1A3		ABHD14B			
ZNF574		ABHD14A			
SHC2		DUSP7			
CNFN		C3orf74			
LIPE		WDR51A			
TMIGD2		ALAS1			
CEACAM1		PPM1M			
FSD1		STAB1			
CEACAM8		NT5DC2			
PSG3		EDEM1			
STAP2		ITIH4			
PSG10		WNT5A			
PSG1		ARHGEF3			
PSG5		SPATA12			
SH3GL1		DNAH12			
TEX101		DNASE1L3			
ETHE1		C3orf67			
PLAUR		FEZF2			
UBXN6		LRIG1			
ABCA4		SUCLG2			
CEACAM16		FOXP1			
PLIN5		EIF4E3			
BCAM		GPR27			
LRG1		PROK2			
APOE		PDZRN3			
SEMA6B		CADM2			
APOC1P1		LMCD1			
APOC4		C3orf32			
APOC2		CPNE9			
SFRS16		MINA			
NKPD1		GABRR3			
CKM		BRPF1			
KLC3		OGG1			
PPP1R13L		TTLL3			
ERCC1		COL8A1			
CD3EAP		MIR548G			
FOSB		IL17RC			
EML2		C3orf26			
GIPR		FILIP1L			
SIX5		PRRT3			
DMPK		TBC1D23			
DMWD		SLC2A9			
NANOS2		ADH1B			
TNFAIP8L1		EMCN			
HIF3A		ZNF518B			
PTGIR		RNF212			
PRKD2		SGMS2			
FKRP		COL25A1			
BBC3		PITX2			
PRR24		C4orf21			
GPR77		LOC100130872-SPON2			
SLC8A2		SPON2			
ZNF541		SYNPO2			
GLTSCR1		LOC100130872			
EHD2		TMEM155			
ELSPBP1		LOC100192379			
PLIN3		BBS7			
GRIN2D		CCNA2			
ARRDC5		SPATA5			
CYTH2		LOC285419			
SULT2B1		HSPA4L			
UHRF1		SCLT1			
FAM83E		C4orf33			
SPACA4		MAEA			
DBP		PABPC4L			
FUT2		CCRN4L			
MAMSTR		SETD7			
HSD17B14		SCOC			
PLEKHA4		UCP1			
PPP1R15A		TBC1D9			
TULP2		HHIP			
DHDH		POU4F2			
FTL		TMEM154			
KCNA7		TRIM2			
HRC		KIAA0922			
TRPM4		RNF175			
DKKL1		SFRP2			
MADCAM1		CC2D2A			
SLC17A7		PDGFC			
RPL13AP5		RXFP1			
SNORD33		CLCN3			
SNORD35A		GALNTL6			
SNORD34		FAM184B			
RPL13A		NCAPG			
SNORD32A		DCAF16			
F3		AGA			
RRAS		CDKN2AIP			
SCAF1		LETM1			
AP2A1		SORBS2			
KDM4B		MTNR1A			
ATF5		FRG1			
SIGLEC16		WHSC1			
MYH14		ZNF876P			
KCNC3		POLN			
NAPSA		MXD4			
POLD1		ANAPC4			
SPIB		SH3BP2			
MYBPC2		NOP14			
ASPDH		HTT			
LRRC4B		HGFAC			
SHANK1		DOK7			
CLEC11A		LRPAP1			
C19orf48		KIAA1239			
KLK1		TBC1D1			
KLK12		FLJ13197			
CTU1		TLR6			
SIGLEC9		MIR574			
SIGLECP3		FAM114A1			
CD33		KLB			
IGLON5		RBM47			
VSIG10L		APBB2			
CLDND2		UCHL1			
NKG7		LIMCH1			
SIGLEC10		PHOX2B			
LOC100129083		TMEM33			
PTPRS		BEND4			
BIRC8		D4S234E			
LOC284379		GABRA4			
MYADM		ZAR1			
GZMM		MSX1			
VSTM1		OCIAD2			
TARM1		SGCB			
CNOT3		LNX1			
MBOAT7		PDGFRA			
RPS9		PPAT			
LILRB3		ARL9			
LILRA6		HOPX			
LILRB5		REST			
LILRA3		CRMP1			
LILRA4		PDE6B			
TTYH1		JAKMIP1			
CDC42EP5		MYL5			
LAIR2		MFSD7			
KIR3DX1		TBC1D14			
KIR2DL4		YTHDC1			
KIR3DL2		CCDC96			
NCR1		TADA2B			
NLRP7		SULT1E1			
GP6		PCGF3			
RDH13		RUFY3			
PPP1R12C		DCK			
HSPBP1		SORCS2			
BRSK1		NPFFR2			
TMEM190		PF4V1			
RPL28		CXCL1			
UBE2S		CXCL5			
ZNF628		EPGN			
NAT14		CDKL2			
SSC5D		CXCL10			
U2AF2		ART3			
ZNF787		SCARB2			
AGRN		CPLX1			
LONP1		MRPL1			
BSG		PRDM8			
PRR22		BMP3			
NRTN		PRKG2			
ZNF586		MIR575			
FUT6		SCD5			
FUT3		LIN54			
ZSCAN1		MRPS18C			
ZSCAN18		HELQ			
ZSCAN22		NKX6-1			
RPS5		KLHL8			
ZBTB45		PIGY			
CHMP2A		FAM13A			
UBE2M		GPRIN3			
RANBP3		DRD5			
SLC25A33		SLC26A1			
RFX2		IDUA			
HCN2		METAP1			
ACSBG2		NKD2			
POLRMT		ROPN1L			
MLLT1		EFNA5			
ACER1		FBXL17			
SLC25A41		KCNN2			
TUBB4		CTNND2			
TMEM201		CDO1			
TNFSF14		TNFAIP8			
C3		ZNF608			
TRIP10		TERT			
FSTL3		03-3__			
SH2D3A		MEGF10			
PRSSL1		ACSL6			
PALM		CSF2			
C1orf200		P4HA2			
PIK3CD		PDLIM4			
ARHGEF18		IL13			
PEX11G		KIF3A			
C19orf45		CCNI2			
KIAA1543		AFF4			
XAB2		PHF15			
STXBP2		PCBD2			
FCER2		NEUROG1			
EVI5L		CXCL14			
PTBP1		TGFBI			
ELAVL1		SPOCK1			
DPYD		KLHL3			
CCL25		HNRNPA0			
LPPR3		ETF1			
FBN3		SIL1			
PRTN3		SNHG4			
PRAM1		MATR3			
ZNF414		SNORA74A			
MYO1F		SLC23A1			
MED16		SLC6A3			
ACTL9		PURA			
CLSTN1		C5orf32			
C19orf22		SLC4A9			
ARID3A		VTRNA1-2			
CTNNBIP1		PCDHA6			
LPPR5		PCDHA2			
OLFM2		PCDHA1			
C20orf46		PCDHA10			
SNPH		PCDHA9			
SDCBP2		PCDHA7			
SIRPB1		PCDHA5			
SNX5		PCDHA3			
SNORD17		PCDHA4			
HSPC072		PCDHA8			
LOC100270804		PCDHAC2			
SIRPA		PCDHA12			
RIN2		PCDHA11			
SSTR4		PCDHA13			
CD93		PCDHAC1			
CSTL1		PCDHB6			
CST11		PCDHGA2			
CST5		PCDHGA1			
DEFB132		PCDHGB1			
CST7		PCDHGA3			
C20orf3		PCDHGA4			
ZNF337		PCDHGA6			
ZCCHC3		PCDHGA5			
PTPRA		PCDHGB2			
DEFB124		PCDHGB3			
REM1		PCDHGA9			
HM13		PCDHGB6			
COX4I2		PCDHGA8			
TTLL9		PCDHGB4			
HCK		PCDHGA7			
ASXL1		PCDHGB5			
SOX12		FCHSD1			
LOC284805		PCDH1			
COMMD7		NDFIP1			
DNMT3B		SPRY4			
PLUNC		FGF1			
C20orf114		ARHGAP26			
CDK5RAP1		NR3C1			
SLC4A11		TRIO			
E2F1		PRELID2			
PXMP4		PPP2R2B			
RALY		DPYSL3			
ASIP		C5orf46			
ITCH		LPCAT1			
TRPC4AP		SH3TC2			
SPAG4		ABLIM3			
PHF20		FLJ41603			
LOC647979		PPARGC1B			
EPB41L1		PDE6A			
DLGAP4		HMGXB3			
MYL9		TIGD6			
TGIF2		PDGFRB			
DSN1		CAMK2A			
SRC		SYNPO			
BLCAP		DCTN4			
BPI		C5orf62			
LBP		ZNF300			
HSPA12B		GPX3			
SPEF1		ANXA6			
CENPB		SPARC			
PLCG1		ATOX1			
ZHX3		G3BP1			
JPH2		GALNT10			
HNF4A		HAND1			
SLPI		LARP1			
RBPJL		C5orf4			
PIGT		NIPAL4			
WFDC2		SOX30			
UBE2C		CLINT1			
TNNC2		PWWP2A			
CTSA		CCNJL			
NEURL2		C1QTNF2			
PLTP		11-3__			
PCIF1		LOC728613			
CDH22		WWC1			
SLC35C2		DOCK2			
SLC13A3		FAM196B			
SLC2A10		TLX3			
ZMYND8		FGF18			
LOC100131496		FBXW11			
PRND		SH3PXD2B			
PREX1		ERGIC1			
RASSF2		BNIP1			
ZNFX1		NKX2-5			
SNORD12B		STC2			
C20orf199		MSX2			
MIR1259		NOP16			
SNORD12		CLTB			
KCNB1		PRELID1			
B4GALT5		RAB24			
RNF114		RGS14			
FAM65C		SLC34A1			
ADNP		F12			
ZNF217		DBN1			
BCAS1		PDLIM7			
CASS4		FAM193B			
RBM38		LOC202181			
PMEPA1		COL23A1			
C20orf85		ZFP2			
STX16		ZNF454			
NPEPL1		GRM6			
GNASAS		ADAMTS2			
MIR298		CANX			
MIR296		MAML1			
GNAS		TBC1D9B			
CTSZ		FLT4			
TUBB1		MGAT1			
SLMO2		TRIM41			
PHACTR3		GNB2L1			
LRRN4		LRRC14B			
CDH4		PDZD2			
MIR1257		AHRR			
TAF4		C1QTNF3			
GTPBP5		TTC23L			
ADRM1		AGXT2			
LAMA5		UGT3A1			
GATA5		C5orf42			
FERMT1		GDNF			
C20orf166		FYB			
C20orf200		TTC33			
LOC100127888		SLC9A3			
SLCO4A1		ELOVL7			
OGFR		C5orf43			
COL9A3		PIK3R1			
